New Case Report for UnIted sTatEs
      Date 	 New Cases 	 NewCases/1M
01/22/2020               0            0.0000 
01/23/2020               0            0.0000 
01/24/2020               1            0.0030 
01/25/2020               0            0.0000 
01/26/2020               3            0.0091 
01/27/2020               0            0.0000 
01/28/2020               0            0.0000 
01/29/2020               1            0.0030 
01/30/2020               0            0.0000 
01/31/2020               2            0.0060 
02/01/2020               0            0.0000 
02/02/2020               0            0.0000 
02/03/2020               3            0.0091 
02/04/2020               0            0.0000 
02/05/2020               0            0.0000 
02/06/2020               1            0.0030 
02/07/2020               0            0.0000 
02/08/2020               0            0.0000 
02/09/2020               0            0.0000 
02/10/2020               0            0.0000 
02/11/2020               1            0.0030 
02/12/2020               0            0.0000 
02/13/2020               1            0.0030 
02/14/2020               0            0.0000 
02/15/2020               0            0.0000 
02/16/2020               0            0.0000 
02/17/2020               0            0.0000 
02/18/2020               0            0.0000 
02/19/2020               0            0.0000 
02/20/2020               0            0.0000 
02/21/2020               2            0.0060 
02/22/2020               0            0.0000 
02/23/2020               0            0.0000 
02/24/2020               0            0.0000 
02/25/2020               0            0.0000 
02/26/2020               0            0.0000 
02/27/2020               1            0.0030 
02/28/2020               0            0.0000 
02/29/2020               8            0.0242 
03/01/2020               7            0.0211 
03/02/2020              23            0.0695 
03/03/2020              19            0.0574 
03/04/2020              33            0.0997 
03/05/2020              77            0.2326 
03/06/2020              53            0.1601 
03/07/2020             166            0.5015 
03/08/2020             116            0.3505 
03/09/2020              75            0.2266 
03/10/2020             188            0.5680 
03/11/2020             365            1.1027 
03/12/2020             439            1.3263 
03/13/2020             633            1.9124 
03/14/2020             759            2.2930 
03/15/2020             234            0.7069 
03/16/2020           1,467            4.4320 
03/17/2020           1,833            5.5377 
03/18/2020           2,657            8.0271 
03/19/2020           4,494           13.5769 
03/20/2020           6,367           19.2355 
03/21/2020           5,995           18.1116 
03/22/2020           8,873           26.8064 
03/23/2020          11,238           33.9514 
03/24/2020          10,619           32.0813 
03/25/2020          12,082           36.5012 
03/26/2020          17,856           53.9452 
03/27/2020          18,690           56.4648 
03/28/2020          19,630           59.3047 
03/29/2020          18,899           57.0962 
03/30/2020          22,075           66.6913 
03/31/2020          26,314           79.4979 
04/01/2020          32,286           97.5400 
04/02/2020          32,222           97.3467 
04/03/2020          32,307           97.6034 
04/04/2020          32,386           97.8421 
04/05/2020          29,895           90.3165 
04/06/2020          31,390           94.8331 
04/07/2020          30,779           92.9872 
04/08/2020          31,235           94.3648 
04/09/2020          35,942          108.5852 
04/10/2020          34,403          103.9357 
04/11/2020          29,083           87.8633 
04/12/2020          27,256           82.3438 
04/13/2020          26,939           81.3861 
04/14/2020          28,818           87.0627 
04/15/2020          25,408           76.7607 
04/16/2020          30,002           90.6398 
04/17/2020          33,066           99.8965 
04/18/2020          27,907           84.3105 
04/19/2020          26,062           78.7365 
04/20/2020          29,820           90.0899 
04/21/2020          25,926           78.3257 
04/22/2020          28,911           87.3437 
04/23/2020          33,612          101.5460 
04/24/2020          32,327           97.6639 
04/25/2020          30,380           91.7817 
04/26/2020          26,488           80.0235 
04/27/2020          23,715           71.6460 
04/28/2020          24,575           74.2441 
04/29/2020          26,459           79.9359 
04/30/2020          29,205           88.2319 
05/01/2020          34,907          105.4584 
